  0.000000000000000E+000  7.020790963217931E-017 -0.209611388090573     
   10.3000000000000        1.14658217669063       -9.75460676053862     
   10.4000000000000        1.14658217669063       -9.84727661852356     
   10.5000000000000        1.14658217669063       -9.93994647650849     
   10.6000000000000        1.14658217669063       -10.0326163344934     
   10.7000000000000        1.14658217669063       -10.1252861924784     
   10.8000000000000        1.14658217669063       -10.2179560504633     
   10.9000000000000        1.14658217669063       -10.3106259084482     
   11.0000000000000        1.14658217669063       -10.4032957664332     
   11.1000000000000        1.14658217669063       -10.4959656244181     
   11.2000000000000        1.14658217669063       -10.5886354824030     
   11.3000000000000        1.14658217669063       -10.6813053403880     
   11.4000000000000        1.14658217669063       -10.7739751983729     
   11.5000000000000        1.14658217669063       -10.8666450563578     
   11.6000000000000        1.14658217669063       -10.9593149143427     
   11.7000000000000        1.14658217669063       -11.0519847723277     
