  0.000000000000000E+000  7.063786234462407E-017 -0.153294353217632     
   10.3000000000000        1.15360383734812       -9.76924383460920     
   10.4000000000000        1.15360383734812       -9.86260256743825     
   10.5000000000000        1.15360383734812       -9.95596130026729     
   10.6000000000000        1.15360383734812       -10.0493200330963     
   10.7000000000000        1.15360383734812       -10.1426787659254     
   10.8000000000000        1.15360383734812       -10.2360374987544     
   10.9000000000000        1.15360383734812       -10.3293962315835     
   11.0000000000000        1.15360383734812       -10.4227549644125     
   11.1000000000000        1.15360383734812       -10.5161136972416     
   11.2000000000000        1.15360383734812       -10.6094724300706     
   11.3000000000000        1.15360383734812       -10.7028311628996     
   11.4000000000000        1.15360383734812       -10.7961898957287     
   11.5000000000000        1.15360383734812       -10.8895486285577     
   11.6000000000000        1.15360383734812       -10.9829073613868     
   11.7000000000000        1.15360383734812       -11.0762660942158     
