  0.000000000000000E+000  7.130651599878999E-017 -7.172767305941553E-002
   10.3000000000000        1.16452378021869       -9.61672304550746     
   10.4000000000000        1.16452378021869       -9.70939290349240     
   10.5000000000000        1.16452378021869       -9.80206276147733     
   10.6000000000000        1.16452378021869       -9.89473261946226     
   10.7000000000000        1.16452378021869       -9.98740247744720     
   10.8000000000000        1.16452378021869       -10.0800723354321     
   10.9000000000000        1.16452378021869       -10.1727421934171     
   11.0000000000000        1.16452378021869       -10.2654120514020     
   11.1000000000000        1.16452378021869       -10.3580819093869     
   11.2000000000000        1.16452378021869       -10.4507517673719     
   11.3000000000000        1.16452378021869       -10.5434216253568     
   11.4000000000000        1.16452378021869       -10.6360914833417     
   11.5000000000000        1.16452378021869       -10.7287613413267     
   11.6000000000000        1.16452378021869       -10.8214311993116     
   11.7000000000000        1.16452378021869       -10.9141010572965     
